month,people
2011/1/1,6134
2011/1/6,6030
2011/1/11,6154
2011/1/16,6078
2011/1/21,6190
2011/1/26,6390
2011/1/31,6601
2011/2/5,6379
2011/2/10,6742
2011/2/15,7006
2011/2/20,6930
2011/2/25,6957
2011/3/2,6979
2011/3/7,7109
2011/3/12,7087
2011/3/17,7059
2011/3/22,6820
2011/3/27,7240
2011/4/1,7267
2011/4/6,7467
2011/4/11,7486
2011/4/16,7716
2011/4/21,7801
2011/4/26,7996
2011/5/1,7819
2011/5/6,7611
2011/5/11,7403
2011/5/16,7730
2011/5/21,7826
2011/5/26,7802
2011/5/31,8131
2011/6/5,8246
2011/6/10,8323
2011/6/15,8601
2011/6/20,8738
2011/6/25,8901
2011/6/30,8683
2011/7/5,8917
2011/7/10,9006
2011/7/15,9342
2011/7/20,9068
2011/7/25,8953
2011/7/30,9290
2011/8/4,9129
2011/8/9,9212
2011/8/14,9437
2011/8/19,9355
2011/8/24,9274
2011/8/29,9185
2011/9/3,9178
2011/9/8,9155
2011/9/13,9511
2011/9/18,9602
2011/9/23,9546
2011/9/28,9512
2011/10/3,9772
2011/10/8,9660
2011/10/13,9830
2011/10/18,9894
2011/10/23,10059
2011/10/28,10132
2011/11/2,10069
2011/11/7,10220
2011/11/12,10103
2011/11/17,10325
2011/11/22,10259
2011/11/27,10221
2011/12/2,10258
2011/12/7,10388
2011/12/12,10124
2011/12/17,10277
2011/12/22,10528
2011/12/27,10341
2012/1/1,10331
2012/1/6,10125
2012/1/11,10157
2012/1/16,10107
2012/1/21,10096
2012/1/26,10285
2012/1/31,10194
2012/2/5,10463
2012/2/10,10628
2012/2/15,10750
2012/2/20,10912
2012/2/25,10872
2012/3/1,11103
2012/3/6,10811
2012/3/11,10816
2012/3/16,11039
2012/3/21,11165
2012/3/26,11182
2012/3/31,10760
2012/4/5,10656
2012/4/10,10688
2012/4/15,10234
2012/4/20,10518
2012/4/25,10574
2012/4/30,10308
2012/5/5,10740
2012/5/10,10298
2012/5/15,10131
2012/5/20,10049
2012/5/25,10386
2012/5/30,10589
2012/6/4,11012
2012/6/9,11009
2012/6/14,11391
2012/6/19,11707
2012/6/24,11451
2012/6/29,11561
2012/7/4,11792
2012/7/9,9461
2012/7/14,10049
2012/7/19,10175
2012/7/24,10783
2012/7/29,10964
2012/8/3,10870
2012/8/8,10970
2012/8/13,10633
2012/8/18,11206
2012/8/23,10612
2012/8/28,10442
2012/9/2,10603
2012/9/7,10356
2012/9/12,8813
2012/9/17,7391
2012/9/22,7347
2012/9/27,7495
2012/10/2,7745
2012/10/7,8779
2012/10/12,8981
2012/10/17,9462
