month,people
2011/1/1,36139
2011/1/6,34911
2011/1/11,35287
2011/1/16,35535
2011/1/21,35979
2011/1/26,35866
2011/1/31,36643
2011/2/5,36714
2011/2/10,37795
2011/2/15,37879
2011/2/20,37448
2011/2/25,36928
2011/3/2,37575
2011/3/7,36613
2011/3/12,36870
2011/3/17,36486
2011/3/22,36188
2011/3/27,35847
2011/4/1,35835
2011/4/6,35557
2011/4/11,35866
2011/4/16,36196
2011/4/21,36595
2011/4/26,37273
2011/5/1,36768
2011/5/6,35801
2011/5/11,36661
2011/5/16,36858
2011/5/21,36245
2011/5/26,36221
2011/5/31,36920
2011/6/5,37680
2011/6/10,38149
2011/6/15,38498
2011/6/20,39178
2011/6/25,39427
2011/6/30,39730
2011/7/5,39857
2011/7/10,40161
2011/7/15,40833
2011/7/20,41130
2011/7/25,40306
2011/7/30,40506
2011/8/4,41235
2011/8/9,41033
2011/8/14,41306
2011/8/19,40459
2011/8/24,40009
2011/8/29,39846
2011/9/3,39388
2011/9/8,39755
2011/9/13,39517
2011/9/18,38921
2011/9/23,39143
2011/9/28,39570
2011/10/3,39920
2011/10/8,39981
2011/10/13,40189
2011/10/18,39754
2011/10/23,39877
2011/10/28,39514
2011/11/2,39699
2011/11/7,39955
2011/11/12,39776
2011/11/17,40058
2011/11/22,39836
2011/11/27,39989
2011/12/2,39419
2011/12/7,39442
2011/12/12,39530
2011/12/17,39439
2011/12/22,39491
2011/12/27,38891
2012/1/1,39287
2012/1/6,39356
2012/1/11,39299
2012/1/16,39003
2012/1/21,38673
2012/1/26,38342
2012/1/31,38522
2012/2/5,38818
2012/2/10,38879
2012/2/15,39019
2012/2/20,39140
2012/2/25,38841
2012/3/1,38402
2012/3/6,39119
2012/3/11,38761
2012/3/16,38954
2012/3/21,39311
2012/3/26,39546
2012/3/31,39018
2012/4/5,39117
2012/4/10,39556
2012/4/15,39682
2012/4/20,39433
2012/4/25,39673
2012/4/30,40241
2012/5/5,40115
2012/5/10,40112
2012/5/15,39776
2012/5/20,39400
2012/5/25,39845
2012/5/30,40108
2012/6/4,40092
2012/6/9,40003
2012/6/14,39944
2012/6/19,39995
2012/6/24,38981
2012/6/29,38821
2012/7/4,38762
2012/7/9,37916
2012/7/14,37709
2012/7/19,37632
2012/7/24,38242
2012/7/29,38352
2012/8/3,38407
2012/8/8,38537
2012/8/13,38421
2012/8/18,38432
2012/8/23,37457
2012/8/28,36739
2012/9/2,36942
2012/9/7,36803
2012/9/12,36971
2012/9/17,36134
2012/9/22,35503
2012/9/27,35587
2012/10/2,35352
2012/10/7,36012
2012/10/12,36495
2012/10/17,36402
