month,people
2011/1/1,21065
2011/1/6,20785
2011/1/11,20489
2011/1/16,20641
2011/1/21,20552
2011/1/26,20290
2011/1/31,20808
2011/2/5,20212
2011/2/10,19819
2011/2/15,19538
2011/2/20,19707
2011/2/25,19367
2011/3/2,19430
2011/3/7,19434
2011/3/12,19607
2011/3/17,19682
2011/3/22,19447
2011/3/27,19143
2011/4/1,19277
2011/4/6,19414
2011/4/11,19356
2011/4/16,19706
2011/4/21,19856
2011/4/26,20019
2011/5/1,19586
2011/5/6,19844
2011/5/11,20192
2011/5/16,20757
2011/5/21,20295
2011/5/26,20309
2011/5/31,20691
2011/6/5,20346
2011/6/10,20096
2011/6/15,20103
2011/6/20,20132
2011/6/25,20237
2011/6/30,19998
2011/7/5,20420
2011/7/10,20971
2011/7/15,21357
2011/7/20,21284
2011/7/25,21167
2011/7/30,21365
2011/8/4,21287
2011/8/9,20905
2011/8/14,20779
2011/8/19,20823
2011/8/24,20929
2011/8/29,20700
2011/9/3,20378
2011/9/8,20701
2011/9/13,21043
2011/9/18,21095
2011/9/23,20959
2011/9/28,21045
2011/10/3,21250
2011/10/8,21368
2011/10/13,20785
2011/10/18,20949
2011/10/23,21010
2011/10/28,20753
2011/11/2,20560
2011/11/7,20949
2011/11/12,20835
2011/11/17,20661
2011/11/22,20485
2011/11/27,20494
2011/12/2,20310
2011/12/7,20549
2011/12/12,20698
2011/12/17,20520
2011/12/22,20490
2011/12/27,20249
2012/1/1,20340
2012/1/6,20495
2012/1/11,20882
2012/1/16,21094
2012/1/21,21029
2012/1/26,21199
2012/1/31,21017
2012/2/5,21060
2012/2/10,21074
2012/2/15,20742
2012/2/20,20844
2012/2/25,20451
2012/3/1,20664
2012/3/6,20873
2012/3/11,21099
2012/3/16,20847
2012/3/21,20701
2012/3/26,20905
2012/3/31,20870
2012/4/5,21147
2012/4/10,21097
2012/4/15,21227
2012/4/20,21361
2012/4/25,21151
2012/4/30,21000
2012/5/5,21160
2012/5/10,21143
2012/5/15,21064
2012/5/20,21028
2012/5/25,21151
2012/5/30,21337
2012/6/4,21241
2012/6/9,21291
2012/6/14,21507
2012/6/19,21504
2012/6/24,21407
2012/6/29,22555
2012/7/4,22357
2012/7/9,22184
2012/7/14,21503
2012/7/19,21660
2012/7/24,21581
2012/7/29,21568
2012/8/3,21620
2012/8/8,21416
2012/8/13,21744
2012/8/18,22244
2012/8/23,22480
2012/8/28,22311
2012/9/2,22525
2012/9/7,22455
2012/9/12,22410
2012/9/17,22134
2012/9/22,22079
2012/9/27,21454
2012/10/2,22281
2012/10/7,22091
2012/10/12,22126
2012/10/17,21790
