month,people
2011/1/1,75409
2011/1/6,75714
2011/1/11,76744
2011/1/16,76944
2011/1/21,77487
2011/1/26,77593
2011/1/31,78699
2011/2/5,79186
2011/2/10,79217
2011/2/15,79568
2011/2/20,79416
2011/2/25,78929
2011/3/2,78504
2011/3/7,79577
2011/3/12,80241
2011/3/17,80213
2011/3/22,81022
2011/3/27,80612
2011/4/1,81011
2011/4/6,80827
2011/4/11,80615
2011/4/16,80388
2011/4/21,81176
2011/4/26,81204
2011/5/1,81195
2011/5/6,80824
2011/5/11,81096
2011/5/16,81761
2011/5/21,82265
2011/5/26,82552
2011/5/31,83535
2011/6/5,83829
2011/6/10,83355
2011/6/15,83645
2011/6/20,84004
2011/6/25,83842
2011/6/30,83315
2011/7/5,83658
2011/7/10,83845
2011/7/15,83733
2011/7/20,83344
2011/7/25,84008
2011/7/30,84631
2011/8/4,84515
2011/8/9,84146
2011/8/14,84170
2011/8/19,84543
2011/8/24,84962
2011/8/29,85147
2011/9/3,84850
2011/9/8,85113
2011/9/13,84501
2011/9/18,84377
2011/9/23,84348
2011/9/28,84365
2011/10/3,84408
2011/10/8,84482
2011/10/13,84207
2011/10/18,83766
2011/10/23,83452
2011/10/28,83405
2011/11/2,83317
2011/11/7,83827
2011/11/12,83838
2011/11/17,83810
2011/11/22,83833
2011/11/27,84298
2011/12/2,84704
2011/12/7,84822
2011/12/12,84253
2011/12/17,84644
2011/12/22,84835
2011/12/27,84705
2012/1/1,85074
2012/1/6,85619
2012/1/11,85523
2012/1/16,85382
2012/1/21,85408
2012/1/26,86066
2012/1/31,85553
2012/2/5,85594
2012/2/10,85992
2012/2/15,85646
2012/2/20,86013
2012/2/25,86210
2012/3/1,85857
2012/3/6,86191
2012/3/11,85797
2012/3/16,85885
2012/3/21,85902
2012/3/26,86030
2012/3/31,85965
2012/4/5,85732
2012/4/10,85628
2012/4/15,85428
2012/4/20,85705
2012/4/25,85167
2012/4/30,84807
2012/5/5,84881
2012/5/10,84765
2012/5/15,84469
2012/5/20,84239
2012/5/25,85025
2012/5/30,84687
2012/6/4,85084
2012/6/9,84740
2012/6/14,84736
2012/6/19,84624
2012/6/24,84434
2012/6/29,84799
2012/7/4,84456
2012/7/9,83310
2012/7/14,82728
2012/7/19,82286
2012/7/24,81803
2012/7/29,81821
2012/8/3,82152
2012/8/8,82379
2012/8/13,83424
2012/8/18,83763
2012/8/23,84129
2012/8/28,83785
2012/9/2,83924
2012/9/7,84031
2012/9/12,83944
2012/9/17,83741
2012/9/22,83874
2012/9/27,83462
2012/10/2,83407
2012/10/7,83320
2012/10/12,83253
2012/10/17,82938
