month,people
2011/1/1,55143
2011/1/6,55279
2011/1/11,55302
2011/1/16,55428
2011/1/21,55725
2011/1/26,55839
2011/1/31,55859
2011/2/5,56004
2011/2/10,56055
2011/2/15,56180
2011/2/20,56122
2011/2/25,56319
2011/3/2,56352
2011/3/7,56101
2011/3/12,56031
2011/3/17,55780
2011/3/22,55889
2011/3/27,55504
2011/4/1,55468
2011/4/6,55186
2011/4/11,54833
2011/4/16,54363
2011/4/21,54423
2011/4/26,54148
2011/5/1,54563
2011/5/6,55053
2011/5/11,55455
2011/5/16,55086
2011/5/21,54991
2011/5/26,54942
2011/5/31,54976
2011/6/5,54789
2011/6/10,54708
2011/6/15,54865
2011/6/20,54916
2011/6/25,54912
2011/6/30,54796
2011/7/5,54629
2011/7/10,54364
2011/7/15,54192
2011/7/20,54013
2011/7/25,53799
2011/7/30,54076
2011/8/4,54297
2011/8/9,54252
2011/8/14,54630
2011/8/19,54401
2011/8/24,54437
2011/8/29,54380
2011/9/3,54283
2011/9/8,54184
2011/9/13,53912
2011/9/18,53829
2011/9/23,53842
2011/9/28,53961
2011/10/3,53881
2011/10/8,53723
2011/10/13,53462
2011/10/18,53544
2011/10/23,53586
2011/10/28,53533
2011/11/2,53324
2011/11/7,53248
2011/11/12,53114
2011/11/17,52865
2011/11/22,52516
2011/11/27,52426
2011/12/2,52210
2011/12/7,52122
2011/12/12,51825
2011/12/17,51740
2011/12/22,51607
2011/12/27,51386
2012/1/1,51175
2012/1/6,50389
2012/1/11,50559
2012/1/16,50431
2012/1/21,50256
2012/1/26,50171
2012/1/31,49736
2012/2/5,50061
2012/2/10,50012
2012/2/15,50042
2012/2/20,50035
2012/2/25,50069
2012/3/1,50009
2012/3/6,49916
2012/3/11,49900
2012/3/16,49795
2012/3/21,49701
2012/3/26,49994
2012/3/31,49961
2012/4/5,50064
2012/4/10,50221
2012/4/15,50301
2012/4/20,50262
2012/4/25,50292
2012/4/30,50177
2012/5/5,49965
2012/5/10,49896
2012/5/15,49877
2012/5/20,49710
2012/5/25,49806
2012/5/30,49913
2012/6/4,50079
2012/6/9,50167
2012/6/14,50349
2012/6/19,50517
2012/6/24,50349
2012/6/29,50417
2012/7/4,50347
2012/7/9,50465
2012/7/14,50543
2012/7/19,50626
2012/7/24,51022
2012/7/29,51292
2012/8/3,51613
2012/8/8,51884
2012/8/13,51881
2012/8/18,51913
2012/8/23,51964
2012/8/28,51783
2012/9/2,51954
2012/9/7,52052
2012/9/12,52234
2012/9/17,52323
2012/9/22,52585
2012/9/27,52868
2012/10/2,53307
2012/10/7,53368
2012/10/12,53535
2012/10/17,53539
