month,people
2011/1/1,11543
2011/1/6,11652
2011/1/11,11593
2011/1/16,11676
2011/1/21,11636
2011/1/26,11369
2011/1/31,11529
2011/2/5,11441
2011/2/10,11418
2011/2/15,11536
2011/2/20,11626
2011/2/25,11632
2011/3/2,11685
2011/3/7,11694
2011/3/12,11810
2011/3/17,11767
2011/3/22,11809
2011/3/27,11841
2011/4/1,11869
2011/4/6,11923
2011/4/11,11944
2011/4/16,11884
2011/4/21,11898
2011/4/26,11902
2011/5/1,11778
2011/5/6,11778
2011/5/11,11854
2011/5/16,11857
2011/5/21,11856
2011/5/26,11835
2011/5/31,11808
2011/6/5,11768
2011/6/10,11846
2011/6/15,11879
2011/6/20,11848
2011/6/25,11825
2011/6/30,11812
2011/7/5,11799
2011/7/10,11911
2011/7/15,11926
2011/7/20,11979
2011/7/25,11972
2011/7/30,11895
2011/8/4,11909
2011/8/9,11854
2011/8/14,11831
2011/8/19,11840
2011/8/24,11811
2011/8/29,11675
2011/9/3,11631
2011/9/8,11565
2011/9/13,11622
2011/9/18,11603
2011/9/23,11550
2011/9/28,11459
2011/10/3,11472
2011/10/8,11470
2011/10/13,11473
2011/10/18,11503
2011/10/23,11482
2011/10/28,11362
2011/11/2,11329
2011/11/7,11302
2011/11/12,11283
2011/11/17,11285
2011/11/22,11287
2011/11/27,11326
2011/12/2,11310
2011/12/7,11303
2011/12/12,11339
2011/12/17,11284
2011/12/22,11296
2011/12/27,11263
2012/1/1,11394
2012/1/6,11370
2012/1/11,11411
2012/1/16,11414
2012/1/21,11351
2012/1/26,11351
2012/1/31,11391
2012/2/5,11359
2012/2/10,11351
2012/2/15,11308
2012/2/20,11303
2012/2/25,11263
2012/3/1,11254
2012/3/6,11247
2012/3/11,11646
2012/3/16,11621
2012/3/21,11620
2012/3/26,11638
2012/3/31,11656
2012/4/5,11669
2012/4/10,11611
2012/4/15,11613
2012/4/20,11576
2012/4/25,11516
2012/4/30,11458
2012/5/5,11604
2012/5/10,11686
2012/5/15,11662
2012/5/20,11682
2012/5/25,11666
2012/5/30,11639
2012/6/4,11668
2012/6/9,11685
2012/6/14,11586
2012/6/19,11554
2012/6/24,11485
2012/6/29,11430
2012/7/4,11401
2012/7/9,11480
2012/7/14,11561
2012/7/19,11567
2012/7/24,11539
2012/7/29,11533
2012/8/3,11536
2012/8/8,11534
2012/8/13,11559
2012/8/18,11546
2012/8/23,11519
2012/8/28,11489
2012/9/2,11472
2012/9/7,11659
2012/9/12,11686
2012/9/17,11607
2012/9/22,11562
2012/9/27,11532
2012/10/2,11507
2012/10/7,11496
2012/10/12,11508
2012/10/17,11478
