month,people
2011/1/1,14224
2011/1/6,14406
2011/1/11,14162
2011/1/16,14511
2011/1/21,14497
2011/1/26,14572
2011/1/31,14480
2011/2/5,14347
2011/2/10,14060
2011/2/15,14225
2011/2/20,14175
2011/2/25,14141
2011/3/2,14362
2011/3/7,14628
2011/3/12,14515
2011/3/17,14492
2011/3/22,14617
2011/3/27,14900
2011/4/1,14904
2011/4/6,14624
2011/4/11,14571
2011/4/16,14582
2011/4/21,14541
2011/4/26,14533
2011/5/1,14733
2011/5/6,14666
2011/5/11,15119
2011/5/16,15166
2011/5/21,15233
2011/5/26,15264
2011/5/31,15619
2011/6/5,15372
2011/6/10,15517
2011/6/15,15380
2011/6/20,15497
2011/6/25,15536
2011/6/30,15462
2011/7/5,15615
2011/7/10,15402
2011/7/15,15443
2011/7/20,15642
2011/7/25,15788
2011/7/30,16011
2011/8/4,16107
2011/8/9,16058
2011/8/14,16006
2011/8/19,16064
2011/8/24,16344
2011/8/29,16557
2011/9/3,16763
2011/9/8,16868
2011/9/13,16699
2011/9/18,16774
2011/9/23,17063
2011/9/28,17205
2011/10/3,17139
2011/10/8,16917
2011/10/13,17118
2011/10/18,16946
2011/10/23,17232
2011/10/28,17272
2011/11/2,17235
2011/11/7,17262
2011/11/12,17275
2011/11/17,17578
2011/11/22,17902
2011/11/27,17831
2011/12/2,17971
2011/12/7,18338
2011/12/12,18520
2011/12/17,18540
2011/12/22,18371
2011/12/27,18380
2012/1/1,18308
2012/1/6,18074
2012/1/11,18103
2012/1/16,18029
2012/1/21,18027
2012/1/26,18163
2012/1/31,18302
2012/2/5,18613
2012/2/10,18575
2012/2/15,18843
2012/2/20,18771
2012/2/25,18981
2012/3/1,18814
2012/3/6,18962
2012/3/11,18844
2012/3/16,19136
2012/3/21,19137
2012/3/26,19655
2012/3/31,19353
2012/4/5,19461
2012/4/10,19388
2012/4/15,19715
2012/4/20,19519
2012/4/25,19302
2012/4/30,19339
2012/5/5,19384
2012/5/10,19308
2012/5/15,19073
2012/5/20,18916
2012/5/25,19190
2012/5/30,19367
2012/6/4,19454
2012/6/9,19375
2012/6/14,19541
2012/6/19,19655
2012/6/24,19337
2012/6/29,19167
2012/7/4,19100
2012/7/9,19336
2012/7/14,18976
2012/7/19,18992
2012/7/24,19587
2012/7/29,19467
2012/8/3,19289
2012/8/8,19268
2012/8/13,18885
2012/8/18,18881
2012/8/23,18340
2012/8/28,18344
2012/9/2,18476
2012/9/7,18575
2012/9/12,18718
2012/9/17,18635
2012/9/22,18784
2012/9/27,19278
2012/10/2,19140
2012/10/7,19332
2012/10/12,19775
2012/10/17,19587
