month,people
2011/1/1,99864
2011/1/6,99229
2011/1/11,100317
2011/1/16,101136
2011/1/21,101854
2011/1/26,101626
2011/1/31,102444
2011/2/5,102864
2011/2/10,102655
2011/2/15,102966
2011/2/20,103233
2011/2/25,103303
2011/3/2,103341
2011/3/7,103475
2011/3/12,104226
2011/3/17,104389
2011/3/22,103978
2011/3/27,104758
2011/4/1,104746
2011/4/6,105032
2011/4/11,104736
2011/4/16,104392
2011/4/21,104432
2011/4/26,104319
2011/5/1,104438
2011/5/6,104348
2011/5/11,104522
2011/5/16,104607
2011/5/21,104428
2011/5/26,104481
2011/5/31,105069
2011/6/5,104648
2011/6/10,104663
2011/6/15,104874
2011/6/20,105491
2011/6/25,106247
2011/6/30,106205
2011/7/5,106245
2011/7/10,106314
2011/7/15,106506
2011/7/20,106620
2011/7/25,106669
2011/7/30,107421
2011/8/4,107749
2011/8/9,107885
2011/8/14,107714
2011/8/19,107821
2011/8/24,108310
2011/8/29,108575
2011/9/3,107893
2011/9/8,108253
2011/9/13,107829
2011/9/18,108212
2011/9/23,108718
2011/9/28,109151
2011/10/3,109276
2011/10/8,109234
2011/10/13,108898
2011/10/18,108564
2011/10/23,108709
2011/10/28,108357
2011/11/2,108369
2011/11/7,108041
2011/11/12,108676
2011/11/17,109031
2011/11/22,109127
2011/11/27,109435
2011/12/2,109772
2011/12/7,109196
2011/12/12,109323
2011/12/17,109206
2011/12/22,109323
2011/12/27,108605
2012/1/1,109360
2012/1/6,109148
2012/1/11,108991
2012/1/16,108973
2012/1/21,109656
2012/1/26,110358
2012/1/31,110244
2012/2/5,110622
2012/2/10,110789
2012/2/15,110654
2012/2/20,110611
2012/2/25,111060
2012/3/1,110457
2012/3/6,110941
2012/3/11,111259
2012/3/16,111160
2012/3/21,111128
2012/3/26,112002
2012/3/31,112412
2012/4/5,112518
2012/4/10,112890
2012/4/15,112860
2012/4/20,112917
2012/4/25,112837
2012/4/30,112745
2012/5/5,113456
2012/5/10,113134
2012/5/15,113320
2012/5/20,112932
2012/5/25,112714
2012/5/30,112653
2012/6/4,112823
2012/6/9,112777
2012/6/14,112722
2012/6/19,112411
2012/6/24,111826
2012/6/29,112217
2012/7/4,112364
2012/7/9,111963
2012/7/14,111829
2012/7/19,111711
2012/7/24,111605
2012/7/29,111602
2012/8/3,111891
2012/8/8,111668
2012/8/13,111678
2012/8/18,111495
2012/8/23,111639
2012/8/28,111264
2012/9/2,111477
2012/9/7,111918
2012/9/12,111297
2012/9/17,111230
2012/9/22,111540
2012/9/27,111533
2012/10/2,111635
2012/10/7,111912
2012/10/12,112246
2012/10/17,112415
