month,people
2011/1/1,17649
2011/1/6,17997
2011/1/11,18299
2011/1/16,18698
2011/1/21,18672
2011/1/26,19260
2011/1/31,19439
2011/2/5,19977
2011/2/10,20223
2011/2/15,20524
2011/2/20,20850
2011/2/25,20790
2011/3/2,21000
2011/3/7,21302
2011/3/12,21670
2011/3/17,21897
2011/3/22,22045
2011/3/27,22197
2011/4/1,22636
2011/4/6,22197
2011/4/11,22569
2011/4/16,22543
2011/4/21,22206
2011/4/26,22450
2011/5/1,23038
2011/5/6,23114
2011/5/11,23456
2011/5/16,23292
2011/5/21,23323
2011/5/26,23084
2011/5/31,23303
2011/6/5,23289
2011/6/10,24055
2011/6/15,24554
2011/6/20,24312
2011/6/25,23874
2011/6/30,23519
2011/7/5,22821
2011/7/10,23104
2011/7/15,22959
2011/7/20,23547
2011/7/25,23898
2011/7/30,24357
2011/8/4,24280
2011/8/9,23922
2011/8/14,24099
2011/8/19,24561
2011/8/24,24963
2011/8/29,24980
2011/9/3,24835
2011/9/8,25124
2011/9/13,25306
2011/9/18,25422
2011/9/23,25696
2011/9/28,25699
2011/10/3,25715
2011/10/8,25420
2011/10/13,25529
2011/10/18,25641
2011/10/23,25392
2011/10/28,25695
2011/11/2,25891
2011/11/7,25552
2011/11/12,25919
2011/11/17,25905
2011/11/22,26215
2011/11/27,26686
2011/12/2,26674
2011/12/7,26826
2011/12/12,26548
2011/12/17,26672
2011/12/22,27103
2011/12/27,27120
2012/1/1,27069
2012/1/6,27008
2012/1/11,26688
2012/1/16,26864
2012/1/21,26634
2012/1/26,26469
2012/1/31,26754
2012/2/5,26555
2012/2/10,26876
2012/2/15,27061
2012/2/20,27081
2012/2/25,27513
2012/3/1,27187
2012/3/6,27292
2012/3/11,27427
2012/3/16,27124
2012/3/21,27260
2012/3/26,27928
2012/3/31,27844
2012/4/5,28272
2012/4/10,28266
2012/4/15,28583
2012/4/20,28903
2012/4/25,28690
2012/4/30,28630
2012/5/5,28483
2012/5/10,28370
2012/5/15,28142
2012/5/20,28373
2012/5/25,28765
2012/5/30,28460
2012/6/4,28198
2012/6/9,28994
2012/6/14,28686
2012/6/19,28883
2012/6/24,28599
2012/6/29,29167
2012/7/4,28292
2012/7/9,28222
2012/7/14,27841
2012/7/19,28236
2012/7/24,28315
2012/7/29,27998
2012/8/3,28428
2012/8/8,28413
2012/8/13,28368
2012/8/18,28538
2012/8/23,28177
2012/8/28,28049
2012/9/2,28382
2012/9/7,28414
2012/9/12,28235
2012/9/17,28075
2012/9/22,28771
2012/9/27,28671
2012/10/2,28173
2012/10/7,28013
2012/10/12,27990
2012/10/17,27837
