month,people
2011/1/1,11908
2011/1/6,11902
2011/1/11,11906
2011/1/16,11895
2011/1/21,11884
2011/1/26,11886
2011/1/31,11810
2011/2/5,11801
2011/2/10,11808
2011/2/15,11806
2011/2/20,11816
2011/2/25,11804
2011/3/2,11782
2011/3/7,11812
2011/3/12,11820
2011/3/17,11807
2011/3/22,11815
2011/3/27,11801
2011/4/1,11739
2011/4/6,11686
2011/4/11,11637
2011/4/16,11512
2011/4/21,11491
2011/4/26,11493
2011/5/1,11477
2011/5/6,11495
2011/5/11,11491
2011/5/16,11444
2011/5/21,11451
2011/5/26,11444
2011/5/31,11386
2011/6/5,11377
2011/6/10,11368
2011/6/15,11347
2011/6/20,11359
2011/6/25,11353
2011/6/30,11329
2011/7/5,11306
2011/7/10,11308
2011/7/15,11269
2011/7/20,11231
2011/7/25,11229
2011/7/30,11244
2011/8/4,11247
2011/8/9,11246
2011/8/14,11231
2011/8/19,11222
2011/8/24,11190
2011/8/29,11169
2011/9/3,11170
2011/9/8,11150
2011/9/13,11144
2011/9/18,11128
2011/9/23,11109
2011/9/28,11097
2011/10/3,11083
2011/10/8,11095
2011/10/13,11128
2011/10/18,11175
2011/10/23,11194
2011/10/28,11230
2011/11/2,11236
2011/11/7,11212
2011/11/12,11203
2011/11/17,11190
2011/11/22,11172
2011/11/27,11140
2011/12/2,11172
2011/12/7,11164
2011/12/12,11150
2011/12/17,11134
2011/12/22,11138
2011/12/27,11117
2012/1/1,11107
2012/1/6,11054
2012/1/11,11051
2012/1/16,11020
2012/1/21,11019
2012/1/26,10963
2012/1/31,10952
2012/2/5,10914
2012/2/10,10924
2012/2/15,10908
2012/2/20,10910
2012/2/25,10891
2012/3/1,10875
2012/3/6,10832
2012/3/11,10818
2012/3/16,10794
2012/3/21,10765
2012/3/26,10742
2012/3/31,10765
2012/4/5,10799
2012/4/10,10807
2012/4/15,10806
2012/4/20,10795
2012/4/25,10809
2012/4/30,10792
2012/5/5,10778
2012/5/10,10715
2012/5/15,10702
2012/5/20,10708
2012/5/25,10711
2012/5/30,10676
2012/6/4,10664
2012/6/9,10658
2012/6/14,10664
2012/6/19,10652
2012/6/24,10611
2012/6/29,10623
2012/7/4,10648
2012/7/9,10694
2012/7/14,10709
2012/7/19,10711
2012/7/24,10722
2012/7/29,10689
2012/8/3,10707
2012/8/8,10711
2012/8/13,10713
2012/8/18,10705
2012/8/23,10675
2012/8/28,10652
2012/9/2,10626
2012/9/7,10618
2012/9/12,10613
2012/9/17,10604
2012/9/22,10594
2012/9/27,10550
2012/10/2,10533
2012/10/7,10564
2012/10/12,10568
2012/10/17,10571
