month,people
2011/1/1,25660
2011/1/6,25646
2011/1/11,25627
2011/1/16,25605
2011/1/21,25585
2011/1/26,25887
2011/1/31,26248
2011/2/5,26418
2011/2/10,26523
2011/2/15,25809
2011/2/20,25818
2011/2/25,25864
2011/3/2,25872
2011/3/7,26022
2011/3/12,26047
2011/3/17,26069
2011/3/22,26083
2011/3/27,26165
2011/4/1,26093
2011/4/6,26105
2011/4/11,26473
2011/4/16,26008
2011/4/21,26068
2011/4/26,26074
2011/5/1,25986
2011/5/6,25979
2011/5/11,26023
2011/5/16,25980
2011/5/21,25982
2011/5/26,25954
2011/5/31,25810
2011/6/5,25796
2011/6/10,26330
2011/6/15,26374
2011/6/20,26401
2011/6/25,26436
2011/6/30,26428
2011/7/5,26391
2011/7/10,26407
2011/7/15,26374
2011/7/20,26394
2011/7/25,26377
2011/7/30,26155
2011/8/4,26092
2011/8/9,26101
2011/8/14,26045
2011/8/19,26024
2011/8/24,26038
2011/8/29,25914
2011/9/3,25893
2011/9/8,25957
2011/9/13,26177
2011/9/18,26162
2011/9/23,26193
2011/9/28,26036
2011/10/3,26019
2011/10/8,26013
2011/10/13,26023
2011/10/18,25987
2011/10/23,26002
2011/10/28,26149
2011/11/2,26328
2011/11/7,26386
2011/11/12,26333
2011/11/17,26378
2011/11/22,26519
2011/11/27,26350
2011/12/2,26316
2011/12/7,26331
2011/12/12,26469
2011/12/17,26584
2011/12/22,26899
2011/12/27,26802
2012/1/1,27017
2012/1/6,26869
2012/1/11,26711
2012/1/16,26629
2012/1/21,26518
2012/1/26,26341
2012/1/31,26327
2012/2/5,26327
2012/2/10,26407
2012/2/15,26562
2012/2/20,26644
2012/2/25,26559
2012/3/1,26536
2012/3/6,26311
2012/3/11,26180
2012/3/16,26190
2012/3/21,26154
2012/3/26,26172
2012/3/31,26261
2012/4/5,26310
2012/4/10,26375
2012/4/15,26422
2012/4/20,26435
2012/4/25,26413
2012/4/30,26475
2012/5/5,26376
2012/5/10,26289
2012/5/15,26268
2012/5/20,26334
2012/5/25,26281
2012/5/30,26367
2012/6/4,26379
2012/6/9,26389
2012/6/14,26411
2012/6/19,26505
2012/6/24,26549
2012/6/29,26363
2012/7/4,26282
2012/7/9,26266
2012/7/14,26252
2012/7/19,26237
2012/7/24,26314
2012/7/29,26161
2012/8/3,26131
2012/8/8,26134
2012/8/13,26216
2012/8/18,26325
2012/8/23,26291
2012/8/28,26263
2012/9/2,26082
2012/9/7,25928
2012/9/12,25862
2012/9/17,25789
2012/9/22,25494
2012/9/27,25427
2012/10/2,25392
2012/10/7,25341
2012/10/12,25594
2012/10/17,25868
