month,people
2011/1/1,34440
2011/1/6,34115
2011/1/11,34433
2011/1/16,34468
2011/1/21,34516
2011/1/26,34400
2011/1/31,34493
2011/2/5,34817
2011/2/10,34493
2011/2/15,34008
2011/2/20,34153
2011/2/25,33927
2011/3/2,33934
2011/3/7,33849
2011/3/12,33934
2011/3/17,34071
2011/3/22,33936
2011/3/27,33721
2011/4/1,34032
2011/4/6,34182
2011/4/11,34138
2011/4/16,34248
2011/4/21,34534
2011/4/26,35007
2011/5/1,35400
2011/5/6,34867
2011/5/11,34947
2011/5/16,34887
2011/5/21,35118
2011/5/26,34829
2011/5/31,35228
2011/6/5,35380
2011/6/10,35981
2011/6/15,36520
2011/6/20,36934
2011/6/25,36848
2011/6/30,37198
2011/7/5,36698
2011/7/10,36405
2011/7/15,36369
2011/7/20,36462
2011/7/25,36418
2011/7/30,36873
2011/8/4,37189
2011/8/9,37402
2011/8/14,37234
2011/8/19,37549
2011/8/24,37809
2011/8/29,37770
2011/9/3,37465
2011/9/8,37802
2011/9/13,37876
2011/9/18,37892
2011/9/23,37739
2011/9/28,38407
2011/10/3,38057
2011/10/8,37988
2011/10/13,37900
2011/10/18,37698
2011/10/23,37790
2011/10/28,37657
2011/11/2,37388
2011/11/7,37342
2011/11/12,37201
2011/11/17,37267
2011/11/22,37264
2011/11/27,37759
2011/12/2,37663
2011/12/7,37401
2011/12/12,37466
2011/12/17,37470
2011/12/22,37414
2011/12/27,37510
2012/1/1,37254
2012/1/6,37335
2012/1/11,37067
2012/1/16,36768
2012/1/21,37150
2012/1/26,37310
2012/1/31,37126
2012/2/5,37586
2012/2/10,37460
2012/2/15,37612
2012/2/20,37384
2012/2/25,37213
2012/3/1,37146
2012/3/6,37026
2012/3/11,36836
2012/3/16,36686
2012/3/21,36636
2012/3/26,37113
2012/3/31,37509
2012/4/5,37020
2012/4/10,37067
2012/4/15,37058
2012/4/20,36929
2012/4/25,36885
2012/4/30,37062
2012/5/5,36897
2012/5/10,37222
2012/5/15,37132
2012/5/20,36853
2012/5/25,36972
2012/5/30,36658
2012/6/4,36232
2012/6/9,36160
2012/6/14,36174
2012/6/19,36460
2012/6/24,36182
2012/6/29,36274
2012/7/4,36021
2012/7/9,35594
2012/7/14,35034
2012/7/19,34815
2012/7/24,34976
2012/7/29,35036
2012/8/3,34725
2012/8/8,34688
2012/8/13,34774
2012/8/18,34662
2012/8/23,34258
2012/8/28,34077
2012/9/2,33851
2012/9/7,33470
2012/9/12,33249
2012/9/17,32626
2012/9/22,32643
2012/9/27,31776
2012/10/2,31813
2012/10/7,32076
2012/10/12,31695
2012/10/17,31695
