month,people
2011/1/1,63806
2011/1/6,63696
2011/1/11,63813
2011/1/16,64055
2011/1/21,64252
2011/1/26,64776
2011/1/31,65705
2011/2/5,65950
2011/2/10,65942
2011/2/15,65378
2011/2/20,64760
2011/2/25,64698
2011/3/2,64307
2011/3/7,64375
2011/3/12,64359
2011/3/17,64235
2011/3/22,64268
2011/3/27,63837
2011/4/1,64322
2011/4/6,64678
2011/4/11,64640
2011/4/16,64799
2011/4/21,64707
2011/4/26,64652
2011/5/1,64194
2011/5/6,64252
2011/5/11,64468
2011/5/16,64507
2011/5/21,64407
2011/5/26,64187
2011/5/31,65008
2011/6/5,64945
2011/6/10,64481
2011/6/15,64732
2011/6/20,65092
2011/6/25,65605
2011/6/30,65312
2011/7/5,64674
2011/7/10,64917
2011/7/15,65098
2011/7/20,65396
2011/7/25,65631
2011/7/30,66458
2011/8/4,66590
2011/8/9,66705
2011/8/14,66893
2011/8/19,66973
2011/8/24,66668
2011/8/29,66598
2011/9/3,66786
2011/9/8,67284
2011/9/13,67192
2011/9/18,67554
2011/9/23,67584
2011/9/28,67960
2011/10/3,67929
2011/10/8,67649
2011/10/13,67452
2011/10/18,67430
2011/10/23,67196
2011/10/28,68056
2011/11/2,67624
2011/11/7,67795
2011/11/12,67931
2011/11/17,67892
2011/11/22,68195
2011/11/27,68625
2011/12/2,69173
2011/12/7,69193
2011/12/12,69454
2011/12/17,69439
2011/12/22,69355
2011/12/27,69929
2012/1/1,69611
2012/1/6,69597
2012/1/11,69738
2012/1/16,69582
2012/1/21,69424
2012/1/26,69967
2012/1/31,69707
2012/2/5,69640
2012/2/10,69460
2012/2/15,69612
2012/2/20,69806
2012/2/25,70077
2012/3/1,69828
2012/3/6,70451
2012/3/11,70296
2012/3/16,70219
2012/3/21,69663
2012/3/26,70446
2012/3/31,70289
2012/4/5,70364
2012/4/10,70358
2012/4/15,70254
2012/4/20,70261
2012/4/25,70382
2012/4/30,70638
2012/5/5,70910
2012/5/10,71083
2012/5/15,71073
2012/5/20,71163
2012/5/25,71661
2012/5/30,71759
2012/6/4,72435
2012/6/9,72104
2012/6/14,71701
2012/6/19,72170
2012/6/24,72027
2012/6/29,71550
2012/7/4,70832
2012/7/9,70050
2012/7/14,69172
2012/7/19,68761
2012/7/24,68857
2012/7/29,68297
2012/8/3,68044
2012/8/8,68144
2012/8/13,68415
2012/8/18,68515
2012/8/23,68382
2012/8/28,68378
2012/9/2,68359
2012/9/7,68413
2012/9/12,68305
2012/9/17,68076
2012/9/22,68302
2012/9/27,68018
2012/10/2,68139
2012/10/7,68945
2012/10/12,69080
2012/10/17,68995
