month,people
2011/1/1,13787
2011/1/6,13773
2011/1/11,13759
2011/1/16,13709
2011/1/21,13761
2011/1/26,13848
2011/1/31,13997
2011/2/5,14125
2011/2/10,14167
2011/2/15,14150
2011/2/20,14190
2011/2/25,14204
2011/3/2,14239
2011/3/7,14257
2011/3/12,14232
2011/3/17,14265
2011/3/22,14259
2011/3/27,14290
2011/4/1,14346
2011/4/6,14386
2011/4/11,14442
2011/4/16,14485
2011/4/21,14545
2011/4/26,14578
2011/5/1,14608
2011/5/6,14593
2011/5/11,14548
2011/5/16,14607
2011/5/21,14650
2011/5/26,14669
2011/5/31,14691
2011/6/5,14759
2011/6/10,14811
2011/6/15,14843
2011/6/20,14873
2011/6/25,14908
2011/6/30,14909
2011/7/5,14958
2011/7/10,14953
2011/7/15,14993
2011/7/20,14954
2011/7/25,14989
2011/7/30,15055
2011/8/4,15078
2011/8/9,15147
2011/8/14,15188
2011/8/19,15234
2011/8/24,15268
2011/8/29,15297
2011/9/3,15272
2011/9/8,15244
2011/9/13,15232
2011/9/18,15249
2011/9/23,15273
2011/9/28,15347
2011/10/3,15370
2011/10/8,15426
2011/10/13,15461
2011/10/18,15517
2011/10/23,15581
2011/10/28,15591
2011/11/2,15571
2011/11/7,15571
2011/11/12,15561
2011/11/17,15565
2011/11/22,15601
2011/11/27,15672
2011/12/2,15748
2011/12/7,15751
2011/12/12,15754
2011/12/17,15821
2011/12/22,15910
2011/12/27,15977
2012/1/1,16017
2012/1/6,16149
2012/1/11,16214
2012/1/16,16267
2012/1/21,16311
2012/1/26,16434
2012/1/31,16504
2012/2/5,16507
2012/2/10,16562
2012/2/15,16629
2012/2/20,16653
2012/2/25,16733
2012/3/1,16706
2012/3/6,16648
2012/3/11,16654
2012/3/16,16697
2012/3/21,16738
2012/3/26,16785
2012/3/31,16805
2012/4/5,16887
2012/4/10,16937
2012/4/15,16991
2012/4/20,17012
2012/4/25,17062
2012/4/30,17053
2012/5/5,17019
2012/5/10,17051
2012/5/15,17085
2012/5/20,17062
2012/5/25,17185
2012/5/30,17211
2012/6/4,17204
2012/6/9,17260
2012/6/14,17283
2012/6/19,17330
2012/6/24,17331
2012/6/29,17283
2012/7/4,17260
2012/7/9,17267
2012/7/14,17264
2012/7/19,17273
2012/7/24,17285
2012/7/29,17349
2012/8/3,17329
2012/8/8,17360
2012/8/13,17393
2012/8/18,17443
2012/8/23,17470
2012/8/28,17536
2012/9/2,17597
2012/9/7,17584
2012/9/12,17610
2012/9/17,17617
2012/9/22,17678
2012/9/27,17658
2012/10/2,17701
2012/10/7,17587
2012/10/12,17633
2012/10/17,17673
