month,people
2011/1/1,84408
2011/1/6,83623
2011/1/11,84150
2011/1/16,82212
2011/1/21,81189
2011/1/26,80551
2011/1/31,81037
2011/2/5,79714
2011/2/10,79558
2011/2/15,79841
2011/2/20,79756
2011/2/25,79098
2011/3/2,78951
2011/3/7,79620
2011/3/12,80360
2011/3/17,80027
2011/3/22,80350
2011/3/27,79879
2011/4/1,80201
2011/4/6,80866
2011/4/11,80756
2011/4/16,82242
2011/4/21,82373
2011/4/26,82637
2011/5/1,82080
2011/5/6,83189
2011/5/11,82973
2011/5/16,82171
2011/5/21,82909
2011/5/26,82100
2011/5/31,82021
2011/6/5,82985
2011/6/10,83187
2011/6/15,83276
2011/6/20,83552
2011/6/25,83827
2011/6/30,82931
2011/7/5,81855
2011/7/10,83705
2011/7/15,84808
2011/7/20,84091
2011/7/25,83543
2011/7/30,83550
2011/8/4,84848
2011/8/9,84287
2011/8/14,83916
2011/8/19,84451
2011/8/24,84779
2011/8/29,84122
2011/9/3,82635
2011/9/8,83777
2011/9/13,82660
2011/9/18,81771
2011/9/23,82276
2011/9/28,82893
2011/10/3,82110
2011/10/8,81201
2011/10/13,80483
2011/10/18,80442
2011/10/23,81048
2011/10/28,80558
2011/11/2,78998
2011/11/7,79346
2011/11/12,79667
2011/11/17,78697
2011/11/22,78869
2011/11/27,79505
2011/12/2,80185
2011/12/7,78634
2011/12/12,78511
2011/12/17,78224
2011/12/22,77435
2011/12/27,76635
2012/1/1,75780
2012/1/6,76280
2012/1/11,75561
2012/1/16,74943
2012/1/21,74697
2012/1/26,75063
2012/1/31,75890
2012/2/5,76168
2012/2/10,76121
2012/2/15,75589
2012/2/20,75954
2012/2/25,76419
2012/3/1,75510
2012/3/6,75503
2012/3/11,75707
2012/3/16,76175
2012/3/21,75873
2012/3/26,76548
2012/3/31,76649
2012/4/5,76116
2012/4/10,76702
2012/4/15,76297
2012/4/20,76383
2012/4/25,76297
2012/4/30,76805
2012/5/5,77040
2012/5/10,76325
2012/5/15,76917
2012/5/20,77824
2012/5/25,79187
2012/5/30,78921
2012/6/4,78224
2012/6/9,78420
2012/6/14,78545
2012/6/19,78333
2012/6/24,78512
2012/6/29,78852
2012/7/4,78661
2012/7/9,79035
2012/7/14,78845
2012/7/19,79285
2012/7/24,80528
2012/7/29,80376
2012/8/3,80846
2012/8/8,80907
2012/8/13,81213
2012/8/18,81985
2012/8/23,82311
2012/8/28,82754
2012/9/2,82987
2012/9/7,83346
2012/9/12,83452
2012/9/17,83835
2012/9/22,84813
2012/9/27,84919
2012/10/2,85135
2012/10/7,85011
2012/10/12,85239
2012/10/17,85440
