month,people
2011/1/1,48209
2011/1/6,48729
2011/1/11,48872
2011/1/16,48664
2011/1/21,49118
2011/1/26,49687
2011/1/31,50374
2011/2/5,50168
2011/2/10,50372
2011/2/15,50909
2011/2/20,51214
2011/2/25,51117
2011/3/2,50268
2011/3/7,50475
2011/3/12,50265
2011/3/17,50412
2011/3/22,50386
2011/3/27,50632
2011/4/1,51225
2011/4/6,51611
2011/4/11,51935
2011/4/16,51848
2011/4/21,51786
2011/4/26,51836
2011/5/1,52014
2011/5/6,52172
2011/5/11,52845
2011/5/16,52923
2011/5/21,52199
2011/5/26,52719
2011/5/31,53171
2011/6/5,52953
2011/6/10,52665
2011/6/15,52861
2011/6/20,53742
2011/6/25,54004
2011/6/30,54423
2011/7/5,54778
2011/7/10,54920
2011/7/15,54647
2011/7/20,55002
2011/7/25,54936
2011/7/30,55705
2011/8/4,55711
2011/8/9,55347
2011/8/14,55373
2011/8/19,55564
2011/8/24,55670
2011/8/29,56315
2011/9/3,55930
2011/9/8,56281
2011/9/13,56739
2011/9/18,56758
2011/9/23,57151
2011/9/28,57715
2011/10/3,58061
2011/10/8,58094
2011/10/13,58085
2011/10/18,58376
2011/10/23,58574
2011/10/28,59307
2011/11/2,59935
2011/11/7,60661
2011/11/12,61164
2011/11/17,61312
2011/11/22,61006
2011/11/27,61962
2011/12/2,62658
2011/12/7,62628
2011/12/12,63017
2011/12/17,62753
2011/12/22,63151
2011/12/27,63181
2012/1/1,62740
2012/1/6,63032
2012/1/11,63097
2012/1/16,62874
2012/1/21,63456
2012/1/26,63485
2012/1/31,63708
2012/2/5,63426
2012/2/10,63784
2012/2/15,63744
2012/2/20,63471
2012/2/25,64251
2012/3/1,64606
2012/3/6,65353
2012/3/11,66188
2012/3/16,66177
2012/3/21,66239
2012/3/26,66323
2012/3/31,66566
2012/4/5,66309
2012/4/10,66258
2012/4/15,66218
2012/4/20,66279
2012/4/25,66041
2012/4/30,66494
2012/5/5,67136
2012/5/10,67459
2012/5/15,67714
2012/5/20,67657
2012/5/25,68601
2012/5/30,69053
2012/6/4,69294
2012/6/9,69859
2012/6/14,70072
2012/6/19,70032
2012/6/24,69996
2012/6/29,69795
2012/7/4,70448
2012/7/9,70579
2012/7/14,71214
2012/7/19,71651
2012/7/24,72144
2012/7/29,71868
2012/8/3,71350
2012/8/8,71581
2012/8/13,71365
2012/8/18,71383
2012/8/23,71839
2012/8/28,72011
2012/9/2,72523
2012/9/7,72313
2012/9/12,72324
2012/9/17,72613
2012/9/22,72461
2012/9/27,72220
2012/10/2,72982
2012/10/7,73197
2012/10/12,73607
2012/10/17,73624
