month,people
2011/1/1,49015
2011/1/6,49070
2011/1/11,49051
2011/1/16,48750
2011/1/21,48581
2011/1/26,49348
2011/1/31,49475
2011/2/5,49661
2011/2/10,49811
2011/2/15,49719
2011/2/20,50005
2011/2/25,49930
2011/3/2,49820
2011/3/7,50287
2011/3/12,50790
2011/3/17,50773
2011/3/22,50616
2011/3/27,51179
2011/4/1,51280
2011/4/6,51348
2011/4/11,51081
2011/4/16,51052
2011/4/21,50835
2011/4/26,50553
2011/5/1,50515
2011/5/6,50079
2011/5/11,50053
2011/5/16,49808
2011/5/21,49876
2011/5/26,50031
2011/5/31,50480
2011/6/5,50153
2011/6/10,50111
2011/6/15,50459
2011/6/20,50659
2011/6/25,50461
2011/6/30,50571
2011/7/5,50386
2011/7/10,50016
2011/7/15,49881
2011/7/20,49775
2011/7/25,50055
2011/7/30,50342
2011/8/4,50447
2011/8/9,50389
2011/8/14,50137
2011/8/19,49790
2011/8/24,49602
2011/8/29,49934
2011/9/3,49493
2011/9/8,49605
2011/9/13,49148
2011/9/18,49181
2011/9/23,48950
2011/9/28,49221
2011/10/3,49458
2011/10/8,48947
2011/10/13,48590
2011/10/18,48812
2011/10/23,48864
2011/10/28,48909
2011/11/2,48904
2011/11/7,49097
2011/11/12,49040
2011/11/17,49228
2011/11/22,49324
2011/11/27,49580
2011/12/2,49456
2011/12/7,48986
2011/12/12,48918
2011/12/17,49314
2011/12/22,49456
2011/12/27,49180
2012/1/1,49212
2012/1/6,49376
2012/1/11,49446
2012/1/16,49487
2012/1/21,49539
2012/1/26,49347
2012/1/31,49369
2012/2/5,49530
2012/2/10,49516
2012/2/15,49574
2012/2/20,49471
2012/2/25,49382
2012/3/1,49313
2012/3/6,49502
2012/3/11,49528
2012/3/16,49305
2012/3/21,49362
2012/3/26,49117
2012/3/31,49118
2012/4/5,48991
2012/4/10,49281
2012/4/15,49518
2012/4/20,49742
2012/4/25,49793
2012/4/30,49404
2012/5/5,48745
2012/5/10,49212
2012/5/15,48908
2012/5/20,49156
2012/5/25,49358
2012/5/30,49607
2012/6/4,49718
2012/6/9,49898
2012/6/14,50063
2012/6/19,50027
2012/6/24,49916
2012/6/29,49943
2012/7/4,49892
2012/7/9,50041
2012/7/14,49996
2012/7/19,50007
2012/7/24,50404
2012/7/29,49984
2012/8/3,50216
2012/8/8,50328
2012/8/13,50496
2012/8/18,50868
2012/8/23,50981
2012/8/28,50839
2012/9/2,50851
2012/9/7,50645
2012/9/12,50743
2012/9/17,50917
2012/9/22,51078
2012/9/27,50774
2012/10/2,51035
2012/10/7,51086
2012/10/12,51237
2012/10/17,51101
