month,people
2011/1/1,1612
2011/1/6,1638
2011/1/11,1627
2011/1/16,1668
2011/1/21,1667
2011/1/26,1666
2011/1/31,1735
2011/2/5,1769
2011/2/10,1790
2011/2/15,1822
2011/2/20,1829
2011/2/25,1800
2011/3/2,1793
2011/3/7,1823
2011/3/12,1881
2011/3/17,1903
2011/3/22,1898
2011/3/27,1899
2011/4/1,1947
2011/4/6,1929
2011/4/11,1921
2011/4/16,1903
2011/4/21,1909
2011/4/26,1914
2011/5/1,1924
2011/5/6,1875
2011/5/11,1926
2011/5/16,1927
2011/5/21,1921
2011/5/26,1946
2011/5/31,1970
2011/6/5,2008
2011/6/10,1978
2011/6/15,1918
2011/6/20,1963
2011/6/25,1957
2011/6/30,1936
2011/7/5,1999
2011/7/10,2045
2011/7/15,2031
2011/7/20,2077
2011/7/25,2071
2011/7/30,2107
2011/8/4,2098
2011/8/9,2149
2011/8/14,2156
2011/8/19,2126
2011/8/24,2111
2011/8/29,2084
2011/9/3,2071
2011/9/8,2095
2011/9/13,2096
2011/9/18,2037
2011/9/23,2088
2011/9/28,2101
2011/10/3,2061
2011/10/8,2073
2011/10/13,2100
2011/10/18,2141
2011/10/23,2087
2011/10/28,2079
2011/11/2,2067
2011/11/7,2074
2011/11/12,2091
2011/11/17,2083
2011/11/22,2126
2011/11/27,2105
2011/12/2,2125
2011/12/7,2124
2011/12/12,2131
2011/12/17,2187
2011/12/22,2210
2011/12/27,2215
2012/1/1,2198
2012/1/6,2178
2012/1/11,2202
2012/1/16,2242
2012/1/21,2208
2012/1/26,2211
2012/1/31,2215
2012/2/5,2227
2012/2/10,2231
2012/2/15,2225
2012/2/20,2246
2012/2/25,2262
2012/3/1,2245
2012/3/6,2250
2012/3/11,2262
2012/3/16,2274
2012/3/21,2308
2012/3/26,2313
2012/3/31,2265
2012/4/5,2286
2012/4/10,2313
2012/4/15,2326
2012/4/20,2334
2012/4/25,2343
2012/4/30,2286
2012/5/5,2350
2012/5/10,2304
2012/5/15,2285
2012/5/20,2263
2012/5/25,2288
2012/5/30,2278
2012/6/4,2262
2012/6/9,2260
2012/6/14,2271
2012/6/19,2272
2012/6/24,2229
2012/6/29,2281
2012/7/4,2326
2012/7/9,2327
2012/7/14,2334
2012/7/19,2298
2012/7/24,2337
2012/7/29,2359
2012/8/3,2365
2012/8/8,2461
2012/8/13,2461
2012/8/18,2421
2012/8/23,2375
2012/8/28,2432
2012/9/2,2478
2012/9/7,2478
2012/9/12,2475
2012/9/17,2494
2012/9/22,2508
2012/9/27,2521
2012/10/2,2494
2012/10/7,2488
2012/10/12,2497
2012/10/17,2563
