month,people
2011/1/1,13614
2011/1/6,14237
2011/1/11,14773
2011/1/16,15025
2011/1/21,15119
2011/1/26,15426
2011/1/31,15939
2011/2/5,16123
2011/2/10,16333
2011/2/15,16070
2011/2/20,15700
2011/2/25,16039
2011/3/2,15064
2011/3/7,15642
2011/3/12,16057
2011/3/17,15809
2011/3/22,16059
2011/3/27,15787
2011/4/1,15930
2011/4/6,16322
2011/4/11,16497
2011/4/16,16421
2011/4/21,16442
2011/4/26,16369
2011/5/1,16066
2011/5/6,15906
2011/5/11,15721
2011/5/16,15759
2011/5/21,15639
2011/5/26,15762
2011/5/31,15910
2011/6/5,15744
2011/6/10,16113
2011/6/15,16134
2011/6/20,16201
2011/6/25,16223
2011/6/30,16068
2011/7/5,15922
2011/7/10,15884
2011/7/15,15813
2011/7/20,15886
2011/7/25,15863
2011/7/30,16200
2011/8/4,15958
2011/8/9,16245
2011/8/14,16365
2011/8/19,16331
2011/8/24,16365
2011/8/29,16565
2011/9/3,16705
2011/9/8,16802
2011/9/13,16851
2011/9/18,17022
2011/9/23,17219
2011/9/28,17465
2011/10/3,17540
2011/10/8,17909
2011/10/13,17744
2011/10/18,17706
2011/10/23,17968
2011/10/28,18125
2011/11/2,18293
2011/11/7,18485
2011/11/12,18752
2011/11/17,18692
2011/11/22,18649
2011/11/27,18779
2011/12/2,18898
2011/12/7,18833
2011/12/12,18686
2011/12/17,18571
2011/12/22,18689
2011/12/27,18813
2012/1/1,18723
2012/1/6,18801
2012/1/11,19068
2012/1/16,19114
2012/1/21,18962
2012/1/26,18690
2012/1/31,18743
2012/2/5,18523
2012/2/10,18739
2012/2/15,19073
2012/2/20,18809
2012/2/25,18896
2012/3/1,18516
2012/3/6,18686
2012/3/11,18862
2012/3/16,19100
2012/3/21,19126
2012/3/26,19348
2012/3/31,19571
2012/4/5,19710
2012/4/10,19455
2012/4/15,19635
2012/4/20,19630
2012/4/25,19702
2012/4/30,19457
2012/5/5,19624
2012/5/10,19462
2012/5/15,19687
2012/5/20,19586
2012/5/25,19808
2012/5/30,20005
2012/6/4,20382
2012/6/9,20642
2012/6/14,20607
2012/6/19,20452
2012/6/24,19878
2012/6/29,19913
2012/7/4,20147
2012/7/9,19619
2012/7/14,20003
2012/7/19,20108
2012/7/24,20116
2012/7/29,20194
2012/8/3,20263
2012/8/8,20551
2012/8/13,20534
2012/8/18,20599
2012/8/23,20453
2012/8/28,20165
2012/9/2,20341
2012/9/7,20447
2012/9/12,20188
2012/9/17,20106
2012/9/22,20064
2012/9/27,20079
2012/10/2,20135
2012/10/7,20431
2012/10/12,20770
2012/10/17,20877
