month,people
2011/1/1,61379
2011/1/6,61569
2011/1/11,62138
2011/1/16,62647
2011/1/21,62833
2011/1/26,63323
2011/1/31,63978
2011/2/5,64414
2011/2/10,63919
2011/2/15,63698
2011/2/20,63617
2011/2/25,64067
2011/3/2,63760
2011/3/7,64236
2011/3/12,63948
2011/3/17,64179
2011/3/22,64481
2011/3/27,64808
2011/4/1,65477
2011/4/6,65961
2011/4/11,65969
2011/4/16,66107
2011/4/21,66491
2011/4/26,66426
2011/5/1,66883
2011/5/6,66850
2011/5/11,66844
2011/5/16,67329
2011/5/21,67145
2011/5/26,67600
2011/5/31,67917
2011/6/5,67801
2011/6/10,67235
2011/6/15,67762
2011/6/20,68145
2011/6/25,67814
2011/6/30,67879
2011/7/5,67853
2011/7/10,67564
2011/7/15,67709
2011/7/20,68082
2011/7/25,68005
2011/7/30,68707
2011/8/4,68981
2011/8/9,68773
2011/8/14,68880
2011/8/19,69549
2011/8/24,69321
2011/8/29,69878
2011/9/3,70111
2011/9/8,70675
2011/9/13,70447
2011/9/18,70476
2011/9/23,70632
2011/9/28,71239
2011/10/3,71173
2011/10/8,70875
2011/10/13,70719
2011/10/18,70511
2011/10/23,70521
2011/10/28,70257
2011/11/2,71286
2011/11/7,71397
2011/11/12,71620
2011/11/17,72018
2011/11/22,71904
2011/11/27,72512
2011/12/2,72929
2011/12/7,72667
2011/12/12,72309
2011/12/17,72396
2011/12/22,72278
2011/12/27,72166
2012/1/1,72681
2012/1/6,72778
2012/1/11,73239
2012/1/16,73628
2012/1/21,73397
2012/1/26,73872
2012/1/31,74420
2012/2/5,74444
2012/2/10,74655
2012/2/15,75078
2012/2/20,75073
2012/2/25,75208
2012/3/1,74800
2012/3/6,74898
2012/3/11,74830
2012/3/16,74845
2012/3/21,74889
2012/3/26,75930
2012/3/31,76001
2012/4/5,75461
2012/4/10,75441
2012/4/15,75225
2012/4/20,75359
2012/4/25,75797
2012/4/30,75439
2012/5/5,75356
2012/5/10,75406
2012/5/15,75403
2012/5/20,75804
2012/5/25,76629
2012/5/30,76696
2012/6/4,76875
2012/6/9,77126
2012/6/14,76862
2012/6/19,76781
2012/6/24,76708
2012/6/29,76731
2012/7/4,76778
2012/7/9,75947
2012/7/14,75312
2012/7/19,74903
2012/7/24,75442
2012/7/29,75212
2012/8/3,74994
2012/8/8,75620
2012/8/13,75952
2012/8/18,76154
2012/8/23,76705
2012/8/28,76443
2012/9/2,76527
2012/9/7,76603
2012/9/12,76635
2012/9/17,76822
2012/9/22,77552
2012/9/27,77555
2012/10/2,77339
2012/10/7,77432
2012/10/12,77596
2012/10/17,77996
