month,people
2011/1/1,23117
2011/1/6,23181
2011/1/11,23076
2011/1/16,22958
2011/1/21,22973
2011/1/26,22814
2011/1/31,23227
2011/2/5,22719
2011/2/10,22685
2011/2/15,22905
2011/2/20,22922
2011/2/25,23045
2011/3/2,23193
2011/3/7,23195
2011/3/12,23216
2011/3/17,23197
2011/3/22,23370
2011/3/27,23111
2011/4/1,23406
2011/4/6,23361
2011/4/11,23223
2011/4/16,22942
2011/4/21,23118
2011/4/26,23115
2011/5/1,23033
2011/5/6,23258
2011/5/11,23178
2011/5/16,23123
2011/5/21,23058
2011/5/26,22862
2011/5/31,23259
2011/6/5,22935
2011/6/10,22775
2011/6/15,22980
2011/6/20,23390
2011/6/25,23340
2011/6/30,23247
2011/7/5,23364
2011/7/10,23348
2011/7/15,23386
2011/7/20,23126
2011/7/25,22921
2011/7/30,23386
2011/8/4,23033
2011/8/9,23126
2011/8/14,23428
2011/8/19,23752
2011/8/24,23727
2011/8/29,23912
2011/9/3,24112
2011/9/8,24232
2011/9/13,24136
2011/9/18,24033
2011/9/23,23841
2011/9/28,24243
2011/10/3,23850
2011/10/8,24208
2011/10/13,24214
2011/10/18,24357
2011/10/23,24514
2011/10/28,24797
2011/11/2,24970
2011/11/7,24873
2011/11/12,24798
2011/11/17,24735
2011/11/22,24748
2011/11/27,25129
2011/12/2,24715
2011/12/7,25270
2011/12/12,25547
2011/12/17,25547
2011/12/22,25776
2011/12/27,26237
2012/1/1,26350
2012/1/6,26103
2012/1/11,26050
2012/1/16,25944
2012/1/21,25774
2012/1/26,26124
2012/1/31,25688
2012/2/5,26018
2012/2/10,26035
2012/2/15,26329
2012/2/20,26588
2012/2/25,26598
2012/3/1,26533
2012/3/6,26462
2012/3/11,26393
2012/3/16,26297
2012/3/21,26177
2012/3/26,26621
2012/3/31,26467
2012/4/5,26604
2012/4/10,26865
2012/4/15,27016
2012/4/20,27048
2012/4/25,27466
2012/4/30,27817
2012/5/5,27597
2012/5/10,27641
2012/5/15,27622
2012/5/20,27231
2012/5/25,27505
2012/5/30,27336
2012/6/4,27917
2012/6/9,28495
2012/6/14,28497
2012/6/19,28568
2012/6/24,28875
2012/6/29,29149
2012/7/4,29238
2012/7/9,29197
2012/7/14,28959
2012/7/19,28193
2012/7/24,28670
2012/7/29,28507
2012/8/3,29030
2012/8/8,28965
2012/8/13,28909
2012/8/18,28864
2012/8/23,29504
2012/8/28,29815
2012/9/2,29793
2012/9/7,29551
2012/9/12,29825
2012/9/17,28954
2012/9/22,28366
2012/9/27,28586
2012/10/2,28786
2012/10/7,28676
2012/10/12,28914
2012/10/17,28936
