month,people
2011/1/1,58158
2011/1/6,58005
2011/1/11,57886
2011/1/16,58544
2011/1/21,58723
2011/1/26,59399
2011/1/31,59451
2011/2/5,59597
2011/2/10,59547
2011/2/15,59839
2011/2/20,60004
2011/2/25,60265
2011/3/2,60396
2011/3/7,60729
2011/3/12,60742
2011/3/17,60929
2011/3/22,61072
2011/3/27,61282
2011/4/1,61602
2011/4/6,61904
2011/4/11,61664
2011/4/16,62443
2011/4/21,62352
2011/4/26,62511
2011/5/1,62520
2011/5/6,62774
2011/5/11,62432
2011/5/16,62925
2011/5/21,62700
2011/5/26,62756
2011/5/31,62768
2011/6/5,62963
2011/6/10,63407
2011/6/15,63149
2011/6/20,63406
2011/6/25,63616
2011/6/30,63770
2011/7/5,63939
2011/7/10,63473
2011/7/15,63360
2011/7/20,63339
2011/7/25,63458
2011/7/30,63514
2011/8/4,63694
2011/8/9,63739
2011/8/14,63993
2011/8/19,63826
2011/8/24,64113
2011/8/29,63874
2011/9/3,63795
2011/9/8,64213
2011/9/13,64407
2011/9/18,64472
2011/9/23,64476
2011/9/28,64822
2011/10/3,64892
2011/10/8,64700
2011/10/13,64402
2011/10/18,64543
2011/10/23,64788
2011/10/28,64949
2011/11/2,64874
2011/11/7,64846
2011/11/12,64776
2011/11/17,64865
2011/11/22,64590
2011/11/27,64659
2011/12/2,64740
2011/12/7,64984
2011/12/12,65290
2011/12/17,65523
2011/12/22,65578
2011/12/27,65346
2012/1/1,65121
2012/1/6,65422
2012/1/11,65694
2012/1/16,65844
2012/1/21,65792
2012/1/26,65962
2012/1/31,66370
2012/2/5,66672
2012/2/10,66900
2012/2/15,67222
2012/2/20,67376
2012/2/25,67289
2012/3/1,67509
2012/3/6,67283
2012/3/11,67702
2012/3/16,68128
2012/3/21,68368
2012/3/26,68373
2012/3/31,68677
2012/4/5,68815
2012/4/10,68960
2012/4/15,68983
2012/4/20,69054
2012/4/25,69048
2012/4/30,68804
2012/5/5,68840
2012/5/10,68775
2012/5/15,68718
2012/5/20,68666
2012/5/25,68642
2012/5/30,68484
2012/6/4,68586
2012/6/9,68891
2012/6/14,68897
2012/6/19,68468
2012/6/24,68414
2012/6/29,68290
2012/7/4,68460
2012/7/9,68264
2012/7/14,68001
2012/7/19,67550
2012/7/24,67211
2012/7/29,67203
2012/8/3,67321
2012/8/8,67105
2012/8/13,66876
2012/8/18,66898
2012/8/23,66978
2012/8/28,66818
2012/9/2,66985
2012/9/7,67017
2012/9/12,67190
2012/9/17,67122
2012/9/22,66604
2012/9/27,66863
2012/10/2,67136
2012/10/7,67227
2012/10/12,67259
2012/10/17,67359
