month,people
2011/1/1,74536
2011/1/6,74714
2011/1/11,74725
2011/1/16,74590
2011/1/21,74890
2011/1/26,75017
2011/1/31,76280
2011/2/5,76826
2011/2/10,76582
2011/2/15,76071
2011/2/20,76462
2011/2/25,77040
2011/3/2,77655
2011/3/7,77339
2011/3/12,77002
2011/3/17,77237
2011/3/22,77456
2011/3/27,77593
2011/4/1,77686
2011/4/6,77833
2011/4/11,78355
2011/4/16,77979
2011/4/21,77702
2011/4/26,77661
2011/5/1,78746
2011/5/6,79093
2011/5/11,79263
2011/5/16,79172
2011/5/21,80279
2011/5/26,79986
2011/5/31,80068
2011/6/5,79911
2011/6/10,79851
2011/6/15,79749
2011/6/20,79808
2011/6/25,79022
2011/6/30,78838
2011/7/5,78423
2011/7/10,78582
2011/7/15,78945
2011/7/20,78483
2011/7/25,78629
2011/7/30,79660
2011/8/4,79442
2011/8/9,79451
2011/8/14,79892
2011/8/19,79072
2011/8/24,79303
2011/8/29,79135
2011/9/3,79498
2011/9/8,79831
2011/9/13,79916
2011/9/18,79725
2011/9/23,79469
2011/9/28,80464
2011/10/3,80237
2011/10/8,80349
2011/10/13,80409
2011/10/18,80618
2011/10/23,79989
2011/10/28,79546
2011/11/2,79305
2011/11/7,79252
2011/11/12,78626
2011/11/17,78671
2011/11/22,78707
2011/11/27,79182
2011/12/2,78733
2011/12/7,79240
2011/12/12,78903
2011/12/17,78948
2011/12/22,78284
2011/12/27,77862
2012/1/1,77688
2012/1/6,78088
2012/1/11,78667
2012/1/16,78575
2012/1/21,78443
2012/1/26,78403
2012/1/31,78503
2012/2/5,79111
2012/2/10,79315
2012/2/15,79618
2012/2/20,80452
2012/2/25,79343
2012/3/1,78906
2012/3/6,79120
2012/3/11,78748
2012/3/16,78894
2012/3/21,79559
2012/3/26,80139
2012/3/31,80685
2012/4/5,81117
2012/4/10,81041
2012/4/15,81667
2012/4/20,81186
2012/4/25,80942
2012/4/30,80300
2012/5/5,80131
2012/5/10,79431
2012/5/15,79142
2012/5/20,79555
2012/5/25,80429
2012/5/30,81039
2012/6/4,80946
2012/6/9,80974
2012/6/14,81324
2012/6/19,81085
2012/6/24,80832
2012/6/29,80728
2012/7/4,80128
2012/7/9,78625
2012/7/14,78436
2012/7/19,79332
2012/7/24,79705
2012/7/29,79574
2012/8/3,79388
2012/8/8,79917
2012/8/13,79831
2012/8/18,79568
2012/8/23,79003
2012/8/28,78299
2012/9/2,78165
2012/9/7,78690
2012/9/12,78357
2012/9/17,77378
2012/9/22,76961
2012/9/27,76815
2012/10/2,77646
2012/10/7,77653
2012/10/12,77946
2012/10/17,78294
