month,people
2011/1/1,16545
2011/1/6,16362
2011/1/11,16141
2011/1/16,16472
2011/1/21,16314
2011/1/26,16129
2011/1/31,16127
2011/2/5,16451
2011/2/10,16488
2011/2/15,16407
2011/2/20,16477
2011/2/25,16600
2011/3/2,16545
2011/3/7,16513
2011/3/12,16762
2011/3/17,16835
2011/3/22,16927
2011/3/27,17068
2011/4/1,17353
2011/4/6,17466
2011/4/11,17243
2011/4/16,17354
2011/4/21,17390
2011/4/26,17577
2011/5/1,17155
2011/5/6,17310
2011/5/11,17040
2011/5/16,17256
2011/5/21,17432
2011/5/26,17264
2011/5/31,17157
2011/6/5,17189
2011/6/10,17314
2011/6/15,17237
2011/6/20,17125
2011/6/25,17406
2011/6/30,17428
2011/7/5,17556
2011/7/10,17225
2011/7/15,17820
2011/7/20,17931
2011/7/25,17983
2011/7/30,17901
2011/8/4,18144
2011/8/9,18267
2011/8/14,18463
2011/8/19,18605
2011/8/24,18481
2011/8/29,18656
2011/9/3,18590
2011/9/8,18415
2011/9/13,18523
2011/9/18,18672
2011/9/23,18678
2011/9/28,18786
2011/10/3,18631
2011/10/8,18815
2011/10/13,18774
2011/10/18,18820
2011/10/23,18949
2011/10/28,19021
2011/11/2,19080
2011/11/7,19151
2011/11/12,19259
2011/11/17,19343
2011/11/22,18868
2011/11/27,19099
2011/12/2,19294
2011/12/7,19117
2011/12/12,19343
2011/12/17,19611
2011/12/22,19589
2011/12/27,19287
2012/1/1,19637
2012/1/6,19738
2012/1/11,19699
2012/1/16,19716
2012/1/21,19471
2012/1/26,19499
2012/1/31,19781
2012/2/5,19629
2012/2/10,19844
2012/2/15,19927
2012/2/20,19801
2012/2/25,19763
2012/3/1,19609
2012/3/6,19619
2012/3/11,19248
2012/3/16,19415
2012/3/21,19516
2012/3/26,19574
2012/3/31,19267
2012/4/5,19117
2012/4/10,19216
2012/4/15,19083
2012/4/20,19270
2012/4/25,19004
2012/4/30,19323
2012/5/5,19128
2012/5/10,19385
2012/5/15,19548
2012/5/20,19704
2012/5/25,20132
2012/5/30,19986
2012/6/4,20105
2012/6/9,19831
2012/6/14,19806
2012/6/19,19734
2012/6/24,19194
2012/6/29,19289
2012/7/4,19129
2012/7/9,19043
2012/7/14,19039
2012/7/19,19073
2012/7/24,19340
2012/7/29,19407
2012/8/3,18838
2012/8/8,19048
2012/8/13,19392
2012/8/18,19472
2012/8/23,18955
2012/8/28,19530
2012/9/2,19520
2012/9/7,19862
2012/9/12,20040
2012/9/17,19531
2012/9/22,19543
2012/9/27,19478
2012/10/2,19458
2012/10/7,19593
2012/10/12,19732
2012/10/17,19738
