month,people
2011/1/1,33947
2011/1/6,34662
2011/1/11,35461
2011/1/16,35244
2011/1/21,35323
2011/1/26,35083
2011/1/31,35413
2011/2/5,35832
2011/2/10,35268
2011/2/15,35301
2011/2/20,35288
2011/2/25,35494
2011/3/2,35197
2011/3/7,35885
2011/3/12,35515
2011/3/17,35767
2011/3/22,35720
2011/3/27,36156
2011/4/1,36770
2011/4/6,37399
2011/4/11,36823
2011/4/16,37531
2011/4/21,37903
2011/4/26,38014
2011/5/1,37652
2011/5/6,37663
2011/5/11,37351
2011/5/16,38039
2011/5/21,38414
2011/5/26,39288
2011/5/31,39474
2011/6/5,40121
2011/6/10,39750
2011/6/15,39976
2011/6/20,39819
2011/6/25,39527
2011/6/30,39288
2011/7/5,40130
2011/7/10,41000
2011/7/15,41758
2011/7/20,41767
2011/7/25,42026
2011/7/30,42017
2011/8/4,42853
2011/8/9,42427
2011/8/14,42765
2011/8/19,43169
2011/8/24,42910
2011/8/29,42344
2011/9/3,42097
2011/9/8,42603
2011/9/13,42895
2011/9/18,42661
2011/9/23,43074
2011/9/28,43348
2011/10/3,43888
2011/10/8,43497
2011/10/13,43286
2011/10/18,42805
2011/10/23,43303
2011/10/28,43271
2011/11/2,43749
2011/11/7,44166
2011/11/12,44353
2011/11/17,45004
2011/11/22,44507
2011/11/27,44400
2011/12/2,44178
2011/12/7,43935
2011/12/12,43968
2011/12/17,43546
2011/12/22,43867
2011/12/27,43486
2012/1/1,42948
2012/1/6,43321
2012/1/11,43956
2012/1/16,44015
2012/1/21,44704
2012/1/26,44853
2012/1/31,44513
2012/2/5,43902
2012/2/10,43729
2012/2/15,43705
2012/2/20,43495
2012/2/25,42671
2012/3/1,42855
2012/3/6,42669
2012/3/11,42385
2012/3/16,41957
2012/3/21,42098
2012/3/26,42581
2012/3/31,42331
2012/4/5,42810
2012/4/10,43152
2012/4/15,43635
2012/4/20,43831
2012/4/25,43785
2012/4/30,44189
2012/5/5,44351
2012/5/10,45148
2012/5/15,45058
2012/5/20,45687
2012/5/25,46340
2012/5/30,46391
2012/6/4,46136
2012/6/9,46344
2012/6/14,46589
2012/6/19,46350
2012/6/24,45983
2012/6/29,46053
2012/7/4,46253
2012/7/9,46338
2012/7/14,45865
2012/7/19,46276
2012/7/24,45813
2012/7/29,45797
2012/8/3,45242
2012/8/8,45558
2012/8/13,45930
2012/8/18,45359
2012/8/23,46332
2012/8/28,46680
2012/9/2,46432
2012/9/7,47502
2012/9/12,46910
2012/9/17,47107
2012/9/22,47463
2012/9/27,47565
2012/10/2,47509
2012/10/7,47233
2012/10/12,47645
2012/10/17,47573
