month,people
2011/1/1,139029
2011/1/6,138877
2011/1/11,139137
2011/1/16,139454
2011/1/21,139694
2011/1/26,139949
2011/1/31,140862
2011/2/5,141992
2011/2/10,141813
2011/2/15,142002
2011/2/20,142216
2011/2/25,142289
2011/3/2,142082
2011/3/7,141433
2011/3/12,140671
2011/3/17,139837
2011/3/22,139599
2011/3/27,139346
2011/4/1,139723
2011/4/6,139804
2011/4/11,140441
2011/4/16,140581
2011/4/21,141053
2011/4/26,140926
2011/5/1,141078
2011/5/6,140835
2011/5/11,140497
2011/5/16,140096
2011/5/21,140061
2011/5/26,139519
2011/5/31,140500
2011/6/5,141051
2011/6/10,141644
2011/6/15,141627
2011/6/20,142034
2011/6/25,141572
2011/6/30,142397
2011/7/5,142267
2011/7/10,142316
2011/7/15,141663
2011/7/20,141629
2011/7/25,141838
2011/7/30,142662
2011/8/4,143285
2011/8/9,143757
2011/8/14,143595
2011/8/19,144071
2011/8/24,144536
2011/8/29,144647
2011/9/3,144748
2011/9/8,144562
2011/9/13,144041
2011/9/18,143715
2011/9/23,143933
2011/9/28,144360
2011/10/3,145820
2011/10/8,146253
2011/10/13,146644
2011/10/18,147032
2011/10/23,147508
2011/10/28,147549
2011/11/2,147449
2011/11/7,147387
2011/11/12,147011
2011/11/17,146769
2011/11/22,146632
2011/11/27,146603
2011/12/2,147053
2011/12/7,147417
2011/12/12,147389
2011/12/17,147666
2011/12/22,147957
2011/12/27,148378
2012/1/1,147946
2012/1/6,147779
2012/1/11,147533
2012/1/16,147375
2012/1/21,146953
2012/1/26,147966
2012/1/31,148094
2012/2/5,148809
2012/2/10,149118
2012/2/15,149505
2012/2/20,149639
2012/2/25,149215
2012/3/1,149154
2012/3/6,149196
2012/3/11,149075
2012/3/16,148519
2012/3/21,148267
2012/3/26,149821
2012/3/31,149992
2012/4/5,150241
2012/4/10,150627
2012/4/15,150540
2012/4/20,150811
2012/4/25,150965
2012/4/30,150946
2012/5/5,150996
2012/5/10,151332
2012/5/15,151090
2012/5/20,150653
2012/5/25,152027
2012/5/30,152714
2012/6/4,153314
2012/6/9,153401
2012/6/14,153867
2012/6/19,154417
2012/6/24,154234
2012/6/29,154083
2012/7/4,154184
2012/7/9,154156
2012/7/14,153727
2012/7/19,153596
2012/7/24,153527
2012/7/29,154288
2012/8/3,154184
2012/8/8,154128
2012/8/13,154309
2012/8/18,154429
2012/8/23,154535
2012/8/28,154581
2012/9/2,154441
2012/9/7,154179
2012/9/12,153904
2012/9/17,153501
2012/9/22,153910
2012/9/27,154283
2012/10/2,154593
2012/10/7,154829
2012/10/12,154963
2012/10/17,155134
