month,people
2011/1/1,29073
2011/1/6,29465
2011/1/11,29486
2011/1/16,29749
2011/1/21,29392
2011/1/26,29211
2011/1/31,29217
2011/2/5,29210
2011/2/10,29400
2011/2/15,28758
2011/2/20,28542
2011/2/25,28680
2011/3/2,28514
2011/3/7,28135
2011/3/12,28045
2011/3/17,27853
2011/3/22,27770
2011/3/27,27404
2011/4/1,27590
2011/4/6,27440
2011/4/11,27592
2011/4/16,27552
2011/4/21,27682
2011/4/26,27658
2011/5/1,27595
2011/5/6,27080
2011/5/11,27115
2011/5/16,26875
2011/5/21,26778
2011/5/26,26721
2011/5/31,26641
2011/6/5,26686
2011/6/10,26338
2011/6/15,26217
2011/6/20,25932
2011/6/25,25894
2011/6/30,25783
2011/7/5,25854
2011/7/10,25777
2011/7/15,25985
2011/7/20,25575
2011/7/25,25539
2011/7/30,25632
2011/8/4,25630
2011/8/9,25438
2011/8/14,25145
2011/8/19,25055
2011/8/24,25054
2011/8/29,24950
2011/9/3,24761
2011/9/8,24898
2011/9/13,24692
2011/9/18,24487
2011/9/23,24234
2011/9/28,24359
2011/10/3,24349
2011/10/8,24343
2011/10/13,24347
2011/10/18,24303
2011/10/23,24152
2011/10/28,24365
2011/11/2,24091
2011/11/7,24149
2011/11/12,24130
2011/11/17,23899
2011/11/22,23771
2011/11/27,23680
2011/12/2,23423
2011/12/7,23202
2011/12/12,23308
2011/12/17,23165
2011/12/22,22918
2011/12/27,22638
2012/1/1,22647
2012/1/6,22643
2012/1/11,22534
2012/1/16,22536
2012/1/21,22606
2012/1/26,22724
2012/1/31,22568
2012/2/5,22783
2012/2/10,23048
2012/2/15,23099
2012/2/20,23293
2012/2/25,23146
2012/3/1,23139
2012/3/6,23393
2012/3/11,23216
2012/3/16,22948
2012/3/21,22892
2012/3/26,22867
2012/3/31,22737
2012/4/5,22778
2012/4/10,22645
2012/4/15,22581
2012/4/20,22468
2012/4/25,22481
2012/4/30,22401
2012/5/5,22387
2012/5/10,22131
2012/5/15,22338
2012/5/20,22170
2012/5/25,22133
2012/5/30,22261
2012/6/4,22126
2012/6/9,22156
2012/6/14,22157
2012/6/19,22096
2012/6/24,22115
2012/6/29,22173
2012/7/4,22175
2012/7/9,21962
2012/7/14,21761
2012/7/19,21470
2012/7/24,20957
2012/7/29,20596
2012/8/3,20282
2012/8/8,20261
2012/8/13,20231
2012/8/18,20066
2012/8/23,19819
2012/8/28,19605
2012/9/2,19271
2012/9/7,19270
2012/9/12,19253
2012/9/17,19207
2012/9/22,19101
2012/9/27,19237
2012/10/2,19252
2012/10/7,19196
2012/10/12,19099
2012/10/17,19036
