month,people
2011/1/1,25414
2011/1/6,24659
2011/1/11,24989
2011/1/16,24459
2011/1/21,24457
2011/1/26,24532
2011/1/31,24597
2011/2/5,24549
2011/2/10,24631
2011/2/15,24828
2011/2/20,24901
2011/2/25,25363
2011/3/2,25366
2011/3/7,25154
2011/3/12,25125
2011/3/17,24924
2011/3/22,24884
2011/3/27,24828
2011/4/1,25032
2011/4/6,25472
2011/4/11,25393
2011/4/16,25839
2011/4/21,25611
2011/4/26,25655
2011/5/1,25796
2011/5/6,25727
2011/5/11,25903
2011/5/16,25810
2011/5/21,25654
2011/5/26,25724
2011/5/31,26123
2011/6/5,26749
2011/6/10,26601
2011/6/15,26830
2011/6/20,26964
2011/6/25,27219
2011/6/30,26232
2011/7/5,26437
2011/7/10,26593
2011/7/15,26730
2011/7/20,26812
2011/7/25,27008
2011/7/30,26904
2011/8/4,26804
2011/8/9,26908
2011/8/14,27064
2011/8/19,27017
2011/8/24,27279
2011/8/29,27418
2011/9/3,27200
2011/9/8,27574
2011/9/13,27812
2011/9/18,28105
2011/9/23,28097
2011/9/28,28335
2011/10/3,28400
2011/10/8,28369
2011/10/13,28038
2011/10/18,28251
2011/10/23,28536
2011/10/28,28774
2011/11/2,28742
2011/11/7,28478
2011/11/12,28358
2011/11/17,28391
2011/11/22,28355
2011/11/27,28559
2011/12/2,28723
2011/12/7,28534
2011/12/12,28261
2011/12/17,28677
2011/12/22,28563
2011/12/27,28250
2012/1/1,28594
2012/1/6,28591
2012/1/11,28666
2012/1/16,28439
2012/1/21,28184
2012/1/26,28361
2012/1/31,28438
2012/2/5,28584
2012/2/10,28590
2012/2/15,28452
2012/2/20,28560
2012/2/25,28503
2012/3/1,28172
2012/3/6,28230
2012/3/11,28322
2012/3/16,28041
2012/3/21,28371
2012/3/26,28556
2012/3/31,28853
2012/4/5,29064
2012/4/10,29134
2012/4/15,29383
2012/4/20,29569
2012/4/25,29558
2012/4/30,29725
2012/5/5,29952
2012/5/10,29621
2012/5/15,29508
2012/5/20,29834
2012/5/25,30105
2012/5/30,29780
2012/6/4,29794
2012/6/9,29687
2012/6/14,29944
2012/6/19,29596
2012/6/24,29584
2012/6/29,29832
2012/7/4,30108
2012/7/9,29599
2012/7/14,29691
2012/7/19,29907
2012/7/24,30117
2012/7/29,29837
2012/8/3,29737
2012/8/8,29795
2012/8/13,30039
2012/8/18,30006
2012/8/23,30168
2012/8/28,30385
2012/9/2,30363
2012/9/7,30684
2012/9/12,30555
2012/9/17,30901
2012/9/22,30748
2012/9/27,30931
2012/10/2,30649
2012/10/7,31052
2012/10/12,30995
2012/10/17,30513
