month,people
2011/1/1,42940
2011/1/6,43707
2011/1/11,44445
2011/1/16,44777
2011/1/21,45053
2011/1/26,45764
2011/1/31,46571
2011/2/5,47775
2011/2/10,48503
2011/2/15,49318
2011/2/20,49982
2011/2/25,51077
2011/3/2,50931
2011/3/7,50746
2011/3/12,51525
2011/3/17,51076
2011/3/22,51957
2011/3/27,52504
2011/4/1,53450
2011/4/6,54546
2011/4/11,54574
2011/4/16,55692
2011/4/21,56397
2011/4/26,57636
2011/5/1,56297
2011/5/6,56124
2011/5/11,56122
2011/5/16,56674
2011/5/21,57291
2011/5/26,58018
2011/5/31,57683
2011/6/5,57322
2011/6/10,58641
2011/6/15,59181
2011/6/20,59843
2011/6/25,60127
2011/6/30,60092
2011/7/5,60744
2011/7/10,61876
2011/7/15,62074
2011/7/20,61880
2011/7/25,62050
2011/7/30,62301
2011/8/4,63132
2011/8/9,64199
2011/8/14,64340
2011/8/19,64513
2011/8/24,65399
2011/8/29,65191
2011/9/3,63906
2011/9/8,64302
2011/9/13,64945
2011/9/18,65355
2011/9/23,65632
2011/9/28,64969
2011/10/3,65983
2011/10/8,66710
2011/10/13,66927
2011/10/18,67535
2011/10/23,68112
2011/10/28,67161
2011/11/2,67927
2011/11/7,68134
2011/11/12,68677
2011/11/17,69195
2011/11/22,69111
2011/11/27,68330
2011/12/2,69726
2011/12/7,70723
2011/12/12,70477
2011/12/17,70646
2011/12/22,70621
2011/12/27,70798
2012/1/1,70994
2012/1/6,71321
2012/1/11,71862
2012/1/16,71262
2012/1/21,71639
2012/1/26,70744
2012/1/31,71953
2012/2/5,73079
2012/2/10,72707
2012/2/15,72920
2012/2/20,73179
2012/2/25,73088
2012/3/1,72593
2012/3/6,73671
2012/3/11,73462
2012/3/16,74217
2012/3/21,74308
2012/3/26,73603
2012/3/31,74850
2012/4/5,75796
2012/4/10,76267
2012/4/15,76289
2012/4/20,75891
2012/4/25,75496
2012/4/30,75079
2012/5/5,75211
2012/5/10,75284
2012/5/15,75986
2012/5/20,76436
2012/5/25,75713
2012/5/30,76739
2012/6/4,77763
2012/6/9,77264
2012/6/14,78106
2012/6/19,78667
2012/6/24,76903
2012/6/29,78276
2012/7/4,77920
2012/7/9,77259
2012/7/14,77160
2012/7/19,77868
2012/7/24,77521
2012/7/29,78749
2012/8/3,78563
2012/8/8,78895
2012/8/13,80422
2012/8/18,80697
2012/8/23,79959
2012/8/28,80239
2012/9/2,80856
2012/9/7,81892
2012/9/12,80539
2012/9/17,76076
2012/9/22,76644
2012/9/27,78267
2012/10/2,80646
2012/10/7,81230
2012/10/12,80818
2012/10/17,81132
